naam,naam_lang,code,type,land,uic_code,eva_code,lat,lng
Den Haag C,Den Haag Centraal,GVC,MEGA_STATION,NL,8400282,8400282,52.0802764892578,4.32499980926514
Haarlem,Haarlem,HLM,KNOOPPUNT_INTERCITY_STATION,NL,8400285,8400285,52.3877792358398,4.63833332061768
Haren Tran,Haren OV Transferium,HRNOVT,FACULTATIEF_STATION,NL,8400290,8400290,53.170071,6.592202
Hurdegaryp,Hurdegaryp,HDG,STOPTREIN_STATION,NL,8400292,8400292,53.2187783,5.934543
Hardenberg,Hardenberg,HDB,SNELTREIN_STATION,NL,8400293,8400293,52.5727767944336,6.62861108779907
Harderwijk,Harderwijk,HD,KNOOPPUNT_STOPTREIN_STATION,NL,8400294,8400294,52.3375015258789,5.61972236633301
Hardinxvld,Hardinxveld-Giessendam,GND,STOPTREIN_STATION,NL,8400295,8400295,51.8305549621582,4.83583354949951
Harlingen,Harlingen,HLG,STOPTREIN_STATION,NL,8400296,8400296,53.1704205,5.4251932
Haren,Haren,HRN,STOPTREIN_STATION,NL,8400297,8400297,53.1761093139648,6.61722230911255
Harl Haven,Harlingen Haven,HLGH,STOPTREIN_STATION,NL,8400298,8479003,53.174917,5.4112885
Brouwhuis,Helmond Brouwhuis,HMBH,STOPTREIN_STATION,NL,8400299,8400299,51.47068,5.70177
't Hout,Helmond 't Hout,HMH,STOPTREIN_STATION,NL,8400300,8400300,51.46794,5.63085
IJsstadion,Heerenveen IJsstadion,HRY,FACULTATIEF_STATION,NL,8400301,8400020,52.9352760314941,5.94388866424561
Heemstede,Heemstede-Aerdenhout,HAD,INTERCITY_STATION,NL,8400302,8400302,52.3591651916504,4.60666656494141
Dn Heldr Z,Den Helder Zuid,HDRZ,STOPTREIN_STATION,NL,8400303,8400303,52.9324989318848,4.76416683197022
Heerenveen,Heerenveen,HR,INTERCITY_STATION,NL,8400305,8400305,52.9613876342773,5.91416645050049
Heerhugow,Heerhugowaard,HWD,KNOOPPUNT_STOPTREIN_STATION,NL,8400306,8400306,52.6697235107422,4.82277774810791
Heerlen,Heerlen,HRL,KNOOPPUNT_INTERCITY_STATION,NL,8400307,8400307,50.8908348083496,5.97499990463257
Heeze,Heeze,HZE,STOPTREIN_STATION,NL,8400308,8400308,51.3849983215332,5.56944465637207
Heiloo,Heiloo,HLO,STOPTREIN_STATION,NL,8400309,8400309,52.5994453430176,4.70055532455444
Heino,Heino,HNO,STOPTREIN_STATION,NL,8400310,8400310,52.4272232055664,6.22111129760742
Den Helder,Den Helder,HDR,INTERCITY_STATION,NL,8400311,8400311,52.9552764892578,4.76111125946045
Hengelo O,Hengelo Oost,HGLO,STOPTREIN_STATION,NL,8400312,8400312,52.2688903808594,6.81944465637207
Helmond,Helmond,HM,KNOOPPUNT_INTERCITY_STATION,NL,8400313,8400313,51.4755554199219,5.66194438934326
Hemmen-D,Hemmen-Dodewaard,HMN,STOPTREIN_STATION,NL,8400315,8400315,51.9222129,5.6737254
Hengelo,Hengelo,HGL,KNOOPPUNT_INTERCITY_STATION,NL,8400316,8400316,52.2616653442383,6.79388904571533
Heemskerk,Heemskerk,HK,STOPTREIN_STATION,NL,8400317,8400317,52.4952774047852,4.68694448471069
Den Bosch,'s-Hertogenbosch,HT,KNOOPPUNT_INTERCITY_STATION,NL,8400319,8400319,51.69048,5.29362
Dn Bosch O,'s-Hertogenbosch Oost,HTO,STOPTREIN_STATION,NL,8400320,8400320,51.700553894043,5.3183331489563
Hilversum,Hilversum,HVS,KNOOPPUNT_INTERCITY_STATION,NL,8400322,8400322,52.2258338928223,5.18194437026978
Hindeloopn,Hindeloopen,HNP,STOPTREIN_STATION,NL,8400323,8400323,52.9464903,5.423063
Media Park,Hilversum Media Park,HVSM,STOPTREIN_STATION,NL,8400324,8400324,52.2380561828613,5.17388868331909
Hoensbroek,Hoensbroek,HB,STOPTREIN_STATION,NL,8400326,8400326,50.9055557250977,5.93055534362793
Hol Rading,Hollandsche Rading,HOR,STOPTREIN_STATION,NL,8400327,8400327,52.1777763366699,5.17916679382324
Holten,Holten,HON,STOPTREIN_STATION,NL,8400328,8400328,52.2838897705078,6.42027759552002
Hillegom,Hillegom,HIL,STOPTREIN_STATION,NL,8400329,8400005,52.3025016784668,4.56555557250977
Hoogeveen,Hoogeveen,HGV,STOPTREIN_STATION,NL,8400330,8400330,52.7338905334473,6.47361087799072
Hoogezand,Hoogezand-Sappemeer,HGZ,KNOOPPUNT_STOPTREIN_STATION,NL,8400331,8400331,53.1598181316756,6.77075386047363
Hoofddorp,Hoofddorp,HFD,STOPTREIN_STATION,NL,8400332,8400332,52.2933349609375,4.70055532455444
Hoogkrspl,Hoogkarspel,HKS,STOPTREIN_STATION,NL,8400334,8400334,52.6905555725098,5.18388891220093
Castellum,Houten Castellum,HTNC,STOPTREIN_STATION,NL,8400335,8400010,52.01701,5.17949
Hoorn Kers,Hoorn Kersenboogerd,HNK,STOPTREIN_STATION,NL,8400336,8400336,52.6536102294922,5.08555555343628
