from_eva,to_eva,traveltime,naam_from,naam_to
8400523,8400182,105,Roermond,Driebergen-Zeist
8400526,8400182,105,Roosendaal,Driebergen-Zeist
8400530,8400182,57,Rotterdam Centraal,Driebergen-Zeist
8400548,8400182,149,Landgraaf,Driebergen-Zeist
8400561,8400182,47,Schiphol Airport,Driebergen-Zeist
8400564,8400182,120,Sittard,Driebergen-Zeist
8400566,8400182,170,Sneek,Driebergen-Zeist
8400567,8400182,45,Soest,Driebergen-Zeist
8400578,8400182,110,Steenwijk,Driebergen-Zeist
8400596,8400182,60,Tiel,Driebergen-Zeist
8400597,8400182,70,Tilburg,Driebergen-Zeist
8400606,8400182,9,Utrecht Vaartsche Rijn,Driebergen-Zeist
8400615,8400182,89,Uitgeest,Driebergen-Zeist
8400620,8400182,22,Utrecht Overvecht,Driebergen-Zeist
8400621,8400182,8,Utrecht Centraal,Driebergen-Zeist
8400627,8400182,18,Veenendaal Centrum,Driebergen-Zeist
8400632,8400182,155,Valkenburg,Driebergen-Zeist
8400644,8400182,103,Venlo,Driebergen-Zeist
8400646,8400182,87,Venray,Driebergen-Zeist
8400652,8400182,156,Vlissingen,Driebergen-Zeist
8400684,8400182,91,Weert,Driebergen-Zeist
8400685,8400182,53,Weesp,Driebergen-Zeist
8400691,8400182,109,Wierden,Driebergen-Zeist
8400696,8400182,184,Winschoten,Driebergen-Zeist
8400698,8400182,112,Winterswijk,Driebergen-Zeist
8400702,8400182,28,Woerden,Driebergen-Zeist
8400731,8400182,58,Zaandam,Driebergen-Zeist
8400735,8400182,46,Zevenaar,Driebergen-Zeist
8400741,8400182,52,Zoetermeer,Driebergen-Zeist
8400742,8400182,173,Zuidbroek,Driebergen-Zeist
8400744,8400182,64,Zutphen,Driebergen-Zeist
8400747,8400182,76,Zwolle,Driebergen-Zeist
8400050,8400194,53,Alkmaar,Duivendrecht
8400051,8400194,94,Almelo,Duivendrecht
8400053,8400194,51,Alphen a/d Rijn,Duivendrecht
8400055,8400194,29,Amersfoort,Duivendrecht
8400057,8400194,3,Amsterdam Amstel,Duivendrecht
8400058,8400194,12,Amsterdam Centraal,Duivendrecht
8400059,8400194,20,Amsterdam Sloterdijk,Duivendrecht
8400061,8400194,5,Amsterdam Zuid,Duivendrecht
8400066,8400194,56,Apeldoorn,Duivendrecht
8400071,8400194,65,Arnhem Centraal,Duivendrecht
8400073,8400194,114,Assen,Duivendrecht
8400074,8400194,2,Amsterdam Bijlmer ArenA,Duivendrecht
8400080,8400194,17,Almere Centrum,Duivendrecht
8400086,8400194,32,Baarn,Duivendrecht
8400093,8400194,130,Emmen Zuid,Duivendrecht
8400095,8400194,188,Veendam,Duivendrecht
8400113,8400194,56,Beverwijk,Duivendrecht
8400128,8400194,112,Boxmeer,Duivendrecht
8400129,8400194,75,Boxtel,Duivendrecht
8400131,8400194,71,Breda,Duivendrecht
8400133,8400194,16,Breukelen,Duivendrecht
8400139,8400194,163,Buitenpost,Duivendrecht
8400151,8400194,45,Castricum,Duivendrecht
8400153,8400194,118,Coevorden,Duivendrecht
8400167,8400194,89,Dalfsen,Duivendrecht
8400170,8400194,52,Delft,Duivendrecht
8400173,8400194,67,Deventer,Duivendrecht
8400176,8400194,88,Dieren,Duivendrecht
8400177,8400194,105,Doetinchem,Duivendrecht
8400179,8400194,57,Den Dolder,Duivendrecht
8400180,8400194,71,Dordrecht,Duivendrecht
8400182,8400194,46,Driebergen-Zeist,Duivendrecht
8400200,8400194,54,Ede-Wageningen,Duivendrecht
8400206,8400194,80,Eindhoven,Duivendrecht
8400207,8400194,82,Elst,Duivendrecht
8400208,8400194,134,Emmen,Duivendrecht
8400212,8400194,114,Enschede,Duivendrecht
8400218,8400194,93,Etten-Leur,Duivendrecht
8400244,8400194,65,Geldermalsen,Duivendrecht
8400245,8400194,89,Geldrop,Duivendrecht
8400256,8400194,105,Gorinchem,Duivendrecht
8400258,8400194,39,Gouda,Duivendrecht
8400263,8400194,131,Groningen,Duivendrecht
8400280,8400194,43,Den Haag HS,Duivendrecht
8400282,8400194,44,Den Haag Centraal,Duivendrecht
8400285,8400194,35,Haarlem,Duivendrecht
8400293,8400194,110,Hardenberg,Duivendrecht
8400294,8400194,80,Harderwijk,Duivendrecht
8400302,8400194,43,Heemstede-Aerdenhout,Duivendrecht
8400305,8400194,117,Heerenveen,Duivendrecht
8400306,8400194,64,Heerhugowaard,Duivendrecht
8400307,8400194,159,Heerlen,Duivendrecht
8400311,8400194,94,Den Helder,Duivendrecht
8400313,8400194,96,Helmond,Duivendrecht
8400316,8400194,106,Hengelo,Duivendrecht
8400319,8400194,59,'s-Hertogenbosch,Duivendrecht
8400322,8400194,16,Hilversum,Duivendrecht
8400331,8400194,159,Hoogezand-Sappemeer,Duivendrecht
8400337,8400194,51,Hoorn,Duivendrecht
8400340,8400194,48,Houten,Duivendrecht
8400355,8400194,179,Kerkrade Centrum,Duivendrecht
8400364,8400194,32,Zaandijk Zaanse Schans,Duivendrecht
8400380,8400194,40,Den Haag Laan v NOI,Duivendrecht
8400382,8400194,90,Lage Zwaluwe,Duivendrecht
8400387,8400194,133,Leeuwarden,Duivendrecht
8400390,8400194,30,Leiden Centraal,Duivendrecht
8400394,8400194,35,Lelystad Centrum,Duivendrecht
8400417,8400194,55,Maarn,Duivendrecht
8400424,8400194,156,Maastricht,Duivendrecht
8400426,8400194,173,Maastricht Randwyck,Duivendrecht
8400428,8400194,103,Mariënberg,Duivendrecht
8400434,8400194,171,Meerssen,Duivendrecht
8400435,8400194,93,Meppel,Duivendrecht
8400452,8400194,22,Naarden-Bussum,Duivendrecht
8400454,8400194,126,Nieuw Amsterdam,Duivendrecht
8400457,8400194,191,Bad Nieuweschans,Duivendrecht
8400470,8400194,84,Nijmegen,Duivendrecht
8400487,8400194,96,Ommen,Duivendrecht
8400495,8400194,84,Oss,Duivendrecht
8400507,8400194,53,Rotterdam Alexander,Duivendrecht
8400508,8400194,48,Purmerend,Duivendrecht
8400517,8400194,75,Rhenen,Duivendrecht
8400523,8400194,125,Roermond,Duivendrecht
8400526,8400194,98,Roosendaal,Duivendrecht
8400530,8400194,44,Rotterdam Centraal,Duivendrecht
8400548,8400194,170,Landgraaf,Duivendrecht
8400561,8400194,13,Schiphol Airport,Duivendrecht
8400564,8400194,140,Sittard,Duivendrecht
8400566,8400194,163,Sneek,Duivendrecht
8400567,8400194,65,Soest,Duivendrecht
8400578,8400194,103,Steenwijk,Duivendrecht
8400596,8400194,82,Tiel,Duivendrecht
8400597,8400194,84,Tilburg,Duivendrecht
8400606,8400194,40,Utrecht Vaartsche Rijn,Duivendrecht
8400615,8400194,43,Uitgeest,Duivendrecht
8400620,8400194,36,Utrecht Overvecht,Duivendrecht
8400621,8400194,26,Utrecht Centraal,Duivendrecht
8400627,8400194,67,Veenendaal Centrum,Duivendrecht
8400632,8400194,177,Valkenburg,Duivendrecht
8400644,8400194,124,Venlo,Duivendrecht
8400646,8400194,124,Venray,Duivendrecht
8400652,8400194,159,Vlissingen,Duivendrecht
8400684,8400194,107,Weert,Duivendrecht
8400685,8400194,9,Weesp,Duivendrecht
8400691,8400194,102,Wierden,Duivendrecht
8400696,8400194,177,Winschoten,Duivendrecht
8400698,8400194,137,Winterswijk,Duivendrecht
8400702,8400194,27,Woerden,Duivendrecht
8400731,8400194,26,Zaandam,Duivendrecht
8400735,8400194,86,Zevenaar,Duivendrecht
8400741,8400194,63,Zoetermeer,Duivendrecht
8400742,8400194,166,Zuidbroek,Duivendrecht
8400744,8400194,94,Zutphen,Duivendrecht
8400747,8400194,72,Zwolle,Duivendrecht
8400050,8400200,94,Alkmaar,Ede-Wageningen
8400051,8400200,95,Almelo,Ede-Wageningen
8400053,8400200,71,Alphen a/d Rijn,Ede-Wageningen
8400055,8400200,37,Amersfoort,Ede-Wageningen
8400057,8400200,45,Amsterdam Amstel,Ede-Wageningen
8400058,8400200,54,Amsterdam Centraal,Ede-Wageningen
8400059,8400200,63,Amsterdam Sloterdijk,Ede-Wageningen
8400061,8400200,52,Amsterdam Zuid,Ede-Wageningen
8400066,8400200,66,Apeldoorn,Ede-Wageningen
8400071,8400200,10,Arnhem Centraal,Ede-Wageningen
8400073,8400200,126,Assen,Ede-Wageningen
8400074,8400200,42,Amsterdam Bijlmer ArenA,Ede-Wageningen
8400080,8400200,79,Almere Centrum,Ede-Wageningen
8400086,8400200,54,Baarn,Ede-Wageningen
8400093,8400200,142,Emmen Zuid,Ede-Wageningen
8400095,8400200,200,Veendam,Ede-Wageningen
8400113,8400200,96,Beverwijk,Ede-Wageningen
8400128,8400200,56,Boxmeer,Ede-Wageningen
8400129,8400200,86,Boxtel,Ede-Wageningen
8400131,8400200,96,Breda,Ede-Wageningen
8400133,8400200,51,Breukelen,Ede-Wageningen
8400139,8400200,175,Buitenpost,Ede-Wageningen
8400151,8400200,83,Castricum,Ede-Wageningen
8400153,8400200,130,Coevorden,Ede-Wageningen
8400167,8400200,101,Dalfsen,Ede-Wageningen
8400170,8400200,84,Delft,Ede-Wageningen
8400173,8400200,56,Deventer,Ede-Wageningen
8400176,8400200,32,Dieren,Ede-Wageningen
8400177,8400200,49,Doetinchem,Ede-Wageningen
8400179,8400200,51,Den Dolder,Ede-Wageningen
8400180,8400200,99,Dordrecht,Ede-Wageningen
8400182,8400200,16,Driebergen-Zeist,Ede-Wageningen
8400194,8400200,55,Duivendrecht,Ede-Wageningen
8400206,8400200,81,Eindhoven,Ede-Wageningen
8400207,8400200,26,Elst,Ede-Wageningen
8400208,8400200,146,Emmen,Ede-Wageningen
8400212,8400200,96,Enschede,Ede-Wageningen
8400218,8400200,110,Etten-Leur,Ede-Wageningen
8400244,8400200,55,Geldermalsen,Ede-Wageningen
8400245,8400200,100,Geldrop,Ede-Wageningen
8400256,8400200,99,Gorinchem,Ede-Wageningen
8400258,8400200,49,Gouda,Ede-Wageningen
8400263,8400200,143,Groningen,Ede-Wageningen
8400280,8400200,75,Den Haag HS,Ede-Wageningen
8400282,8400200,68,Den Haag Centraal,Ede-Wageningen
8400285,8400200,77,Haarlem,Ede-Wageningen
8400293,8400200,122,Hardenberg,Ede-Wageningen
8400294,8400200,86,Harderwijk,Ede-Wageningen
8400302,8400200,89,Heemstede-Aerdenhout,Ede-Wageningen
8400305,8400200,129,Heerenveen,Ede-Wageningen
8400306,8400200,107,Heerhugowaard,Ede-Wageningen
8400307,8400200,149,Heerlen,Ede-Wageningen
8400311,8400200,134,Den Helder,Ede-Wageningen
8400313,8400200,107,Helmond,Ede-Wageningen
8400316,8400200,85,Hengelo,Ede-Wageningen
8400319,8400200,60,'s-Hertogenbosch,Ede-Wageningen
8400322,8400200,49,Hilversum,Ede-Wageningen
8400331,8400200,171,Hoogezand-Sappemeer,Ede-Wageningen
8400337,8400200,98,Hoorn,Ede-Wageningen
8400340,8400200,39,Houten,Ede-Wageningen
8400355,8400200,175,Kerkrade Centrum,Ede-Wageningen
8400364,8400200,79,Zaandijk Zaanse Schans,Ede-Wageningen
8400380,8400200,84,Den Haag Laan v NOI,Ede-Wageningen
8400382,8400200,118,Lage Zwaluwe,Ede-Wageningen
8400387,8400200,145,Leeuwarden,Ede-Wageningen
8400390,8400200,77,Leiden Centraal,Ede-Wageningen
8400394,8400200,95,Lelystad Centrum,Ede-Wageningen
8400417,8400200,33,Maarn,Ede-Wageningen
8400424,8400200,152,Maastricht,Ede-Wageningen
8400426,8400200,163,Maastricht Randwyck,Ede-Wageningen
8400428,8400200,115,Mariënberg,Ede-Wageningen
8400434,8400200,167,Meerssen,Ede-Wageningen
8400435,8400200,105,Meppel,Ede-Wageningen
8400452,8400200,58,Naarden-Bussum,Ede-Wageningen
8400454,8400200,138,Nieuw Amsterdam,Ede-Wageningen
8400457,8400200,203,Bad Nieuweschans,Ede-Wageningen
8400470,8400200,28,Nijmegen,Ede-Wageningen
8400487,8400200,108,Ommen,Ede-Wageningen
8400495,8400200,50,Oss,Ede-Wageningen
8400507,8400200,65,Rotterdam Alexander,Ede-Wageningen
8400508,8400200,95,Purmerend,Ede-Wageningen
8400517,8400200,71,Rhenen,Ede-Wageningen
8400523,8400200,113,Roermond,Ede-Wageningen
8400526,8400200,119,Roosendaal,Ede-Wageningen
8400530,8400200,73,Rotterdam Centraal,Ede-Wageningen
8400548,8400200,161,Landgraaf,Ede-Wageningen
8400561,8400200,60,Schiphol Airport,Ede-Wageningen
8400564,8400200,133,Sittard,Ede-Wageningen
8400566,8400200,175,Sneek,Ede-Wageningen
8400567,8400200,61,Soest,Ede-Wageningen
8400578,8400200,115,Steenwijk,Ede-Wageningen
8400596,8400200,54,Tiel,Ede-Wageningen
8400597,8400200,82,Tilburg,Ede-Wageningen
8400606,8400200,32,Utrecht Vaartsche Rijn,Ede-Wageningen
8400615,8400200,90,Uitgeest,Ede-Wageningen
8400620,8400200,34,Utrecht Overvecht,Ede-Wageningen
8400621,8400200,24,Utrecht Centraal,Ede-Wageningen
8400627,8400200,45,Veenendaal Centrum,Ede-Wageningen
8400632,8400200,167,Valkenburg,Ede-Wageningen
8400644,8400200,87,Venlo,Ede-Wageningen
8400646,8400200,68,Venray,Ede-Wageningen
8400652,8400200,172,Vlissingen,Ede-Wageningen
8400684,8400200,103,Weert,Ede-Wageningen
8400685,8400200,65,Weesp,Ede-Wageningen
8400691,8400200,101,Wierden,Ede-Wageningen
8400696,8400200,189,Winschoten,Ede-Wageningen
8400698,8400200,81,Winterswijk,Ede-Wageningen
8400702,8400200,44,Woerden,Ede-Wageningen
8400731,8400200,69,Zaandam,Ede-Wageningen
8400735,8400200,30,Zevenaar,Ede-Wageningen
8400741,8400200,68,Zoetermeer,Ede-Wageningen
8400742,8400200,178,Zuidbroek,Ede-Wageningen
8400744,8400200,43,Zutphen,Ede-Wageningen
8400747,8400200,81,Zwolle,Ede-Wageningen
8400050,8400206,117,Alkmaar,Eindhoven
8400051,8400206,138,Almelo,Eindhoven
8400053,8400206,87,Alphen a/d Rijn,Eindhoven
8400055,8400206,74,Amersfoort,Eindhoven
